"num_collisions","year","weekday","max_temp","max_wind","fog","snow"
493,2014,"6",63,11.1,0,0
427,2014,"7",63,9.9,0,0
547,2014,"1",42.1,9.9,0,0
474,2014,"2",39,9.9,0,0
563,2014,"3",39,18.1,0,0
538,2014,"4",44.1,15.9,0,0
530,2014,"5",61,9.9,0,0
569,2014,"6",62.1,15,0,0
437,2014,"7",59,20,0,0
559,2014,"1",55.9,12,0,0
549,2014,"2",60.1,9.9,0,0
519,2014,"3",60.1,5.1,0,0
592,2014,"4",66.9,6,0,0
622,2014,"5",54,12,0,0
580,2014,"6",53.1,15,0,0
484,2014,"7",61,9.9,0,0
533,2014,"1",61,9.9,0,0
606,2014,"2",64,12,1,0
595,2014,"3",64,13,0,0
645,2014,"4",61,14,0,0
609,2014,"5",75,9.9,0,0
578,2014,"6",75,8.9,0,0
482,2014,"7",77,8.9,0,0
514,2014,"1",77,11.1,0,0
452,2014,"2",75,14,0,0
570,2014,"3",63,15,0,0
508,2014,"4",48.9,11.1,0,0
496,2014,"5",48.9,8.9,0,0
525,2014,"6",68,8,0,0
393,2014,"7",68,11.1,0,0
521,2014,"1",66.9,8,0,0
459,2014,"2",71.1,8.9,0,0
536,2014,"3",71.1,13,0,0
586,2014,"4",62.1,13,0,0
617,2014,"5",63,8,0,0
549,2014,"6",66.9,9.9,0,0
449,2014,"7",66.9,8,0,0
597,2014,"1",66.9,8.9,0,0
555,2014,"2",66.9,12,0,0
651,2014,"3",52,13,0,0
650,2014,"4",78.1,8,1,0
698,2014,"5",78.1,8.9,0,0
590,2014,"6",70,7,0,0
451,2014,"7",71.1,13,0,0
618,2014,"1",70,13,0,0
565,2014,"2",71.1,8,0,0
603,2014,"3",71.1,8.9,0,0
596,2014,"4",69.1,7,0,0
584,2014,"5",63,8,0,0
550,2014,"6",82.9,8,1,0
584,2014,"7",82.9,8.9,0,0
581,2014,"1",84.9,6,0,0
560,2014,"2",84.9,14,0,0
638,2014,"3",73,8,0,0
659,2014,"4",71.1,8.9,0,0
700,2014,"5",71.1,8.9,0,0
619,2014,"6",70,8,0,0
507,2014,"7",70,8.9,0,0
572,2014,"1",72,11.1,0,0
650,2014,"2",78.1,7,0,0
575,2014,"3",78.1,7,0,0
593,2014,"4",73.9,7,1,0
660,2014,"5",71.1,8,0,0
486,2014,"6",71.1,8,1,0
472,2014,"7",80.1,6,0,0
433,2014,"1",86,8.9,0,0
645,2014,"2",86,8.9,0,0
538,2014,"3",86,11.1,0,0
663,2014,"4",66,9.9,0,0
650,2014,"5",75,6,0,0
587,2014,"6",75,11.1,0,0
604,2014,"7",77,6,0,0
643,2014,"1",80.1,6,0,0
663,2014,"2",87.1,8,0,0
582,2014,"3",87.1,8.9,0,0
569,2014,"4",82,9.9,0,0
743,2014,"5",75.9,8,0,0
623,2014,"6",82,6,0,0
516,2014,"7",86,8,0,0
528,2014,"1",73.9,6,1,0
569,2014,"2",77,7,0,0
576,2014,"3",77,11.1,0,0
563,2014,"4",72,8,0,0
708,2014,"5",79,6,1,0
613,2014,"6",72,11.1,0,0
475,2014,"7",80.1,8,0,0
622,2014,"1",81,7,0,0
666,2014,"2",89.1,6,0,0
663,2014,"3",89.1,11.1,0,0
675,2014,"4",89.1,8,0,0
765,2014,"5",79,7,0,0
557,2014,"6",79,8.9,0,0
477,2014,"7",79,5.1,0,0
644,2014,"1",81,8,0,0
632,2014,"2",81,8,0,0
646,2014,"3",84.9,8,0,0
670,2014,"4",84.9,8,0,0
660,2014,"5",82.9,9.9,0,0
611,2014,"6",87.1,7,0,0
538,2014,"7",87.1,5.1,0,0
610,2014,"1",84,5.1,0,0
616,2014,"2",89.1,7,0,0
658,2014,"3",91,11.1,1,0
740,2014,"4",91,8,1,0
360,2014,"5",87.1,8.9,1,0
505,2014,"6",81,9.9,0,0
451,2014,"7",84,8.9,0,0
614,2014,"1",90,8.9,0,0
594,2014,"2",91,7,0,0
569,2014,"3",86,11.1,0,0
584,2014,"4",88,7,0,0
642,2014,"5",86,8,0,0
550,2014,"6",86,8.9,0,0
439,2014,"7",82,8,0,0
567,2014,"1",82.9,5.1,0,0
587,2014,"2",86,7,1,0
551,2014,"3",86,6,0,0
587,2014,"4",81,7,0,0
625,2014,"5",81,8,0,0
480,2014,"6",75.9,6,0,0
451,2014,"7",78.1,8,0,0
557,2014,"1",84.9,4.1,0,0
587,2014,"2",86,6,0,0
591,2014,"3",88,7,0,0
539,2014,"4",79,8,0,0
653,2014,"5",82,8,0,0
534,2014,"6",82,6,0,0
476,2014,"7",84.9,7,0,0
595,2014,"1",84.9,9.9,0,0
526,2014,"2",82,12,0,0
605,2014,"3",80.1,6,0,0
626,2014,"4",82,5.1,0,0
667,2014,"5",84,7,0,0
540,2014,"6",84,12,0,0
476,2014,"7",75.9,7,0,0
589,2014,"1",84,7,0,0
606,2014,"2",89.1,5.1,0,0
562,2014,"3",82.9,11.1,0,0
585,2014,"4",82.9,8.9,0,0
601,2014,"5",82.9,6,0,0
538,2014,"6",87.1,6,0,0
512,2014,"7",88,6,0,0
604,2014,"1",88,7,0,0
491,2014,"2",78.1,8.9,0,0
572,2014,"3",82,9.9,0,0
625,2014,"4",82,8,0,0
522,2014,"5",73.9,9.9,0,0
491,2014,"6",78.1,8.9,0,0
476,2014,"7",82,7,0,0
595,2014,"1",82,8.9,0,0
516,2014,"2",82.9,6,0,0
551,2014,"3",84,6,0,0
567,2014,"4",84,8,0,0
568,2014,"5",82.9,8.9,0,0
