"num_collisions_adj","max_temp","max_wind","day_group","winter_flag"
282.807,71.1,8.9,"Mon-Thu",0
279.524,69.1,7,"Mon-Thu",0
273.896,63,8,"Fri",0
257.95,82.9,8,"Sat",0
273.896,82.9,8.9,"Sun",0
272.489,84.9,6,"Mon-Thu",0
262.64,84.9,14,"Mon-Thu",0
299.222,73,8,"Mon-Thu",0
309.071,71.1,8.9,"Mon-Thu",0
328.3,71.1,8.9,"Fri",0
290.311,70,8,"Sat",0
237.783,70,8.9,"Sun",0
268.268,72,11.1,"Mon-Thu",0
304.85,78.1,7,"Mon-Thu",0
269.675,78.1,7,"Mon-Thu",0
278.117,73.9,7,"Mon-Thu",0
309.54,71.1,8,"Fri",0
227.934,71.1,8,"Sat",0
221.368,80.1,6,"Sun",0
203.077,86,8.9,"Mon-Thu",0
302.505,86,8.9,"Mon-Thu",0
252.322,86,11.1,"Mon-Thu",0
310.947,66,9.9,"Mon-Thu",0
304.85,75,6,"Fri",0
275.303,75,11.1,"Sat",0
283.276,77,6,"Sun",0
301.567,80.1,6,"Mon-Thu",0
310.947,87.1,8,"Mon-Thu",0
272.958,87.1,8.9,"Mon-Thu",0
266.861,82,9.9,"Mon-Thu",0
348.467,75.9,8,"Fri",0
292.187,82,6,"Sat",0
242.004,86,8,"Sun",0
247.632,73.9,6,"Mon-Thu",0
266.861,77,7,"Mon-Thu",0
270.144,77,11.1,"Mon-Thu",0
264.047,72,8,"Mon-Thu",0
332.052,79,6,"Fri",0
287.497,72,11.1,"Sat",0
222.775,80.1,8,"Sun",0
291.718,81,7,"Mon-Thu",0
312.354,89.1,6,"Mon-Thu",0
310.947,89.1,11.1,"Mon-Thu",0
316.575,89.1,8,"Mon-Thu",0
358.785,79,7,"Fri",0
261.233,79,8.9,"Sat",0
223.713,79,5.1,"Sun",0
302.036,81,8,"Mon-Thu",0
296.408,81,8,"Mon-Thu",0
302.974,84.9,8,"Mon-Thu",0
314.23,84.9,8,"Mon-Thu",0
309.54,82.9,9.9,"Fri",0
286.559,87.1,7,"Sat",0
252.322,87.1,5.1,"Sun",0
286.09,84,5.1,"Mon-Thu",0
288.904,89.1,7,"Mon-Thu",0
308.602,91,11.1,"Mon-Thu",0
347.06,91,8,"Mon-Thu",0
168.84,87.1,8.9,"Fri",0
236.845,81,9.9,"Sat",0
211.519,84,8.9,"Sun",0
