"num_collisions_adj","max_temp","max_wind","weekday","month","year","fog","snow"
329.238,57,9.9,"5","11",2013,0,0
251.384,57,13,"6","11",2013,0,0
231.686,37.4,21,"7","11",2013,1,0
332.99,35.1,9.9,"1","11",2013,0,0
406.623,41,8,"2","11",2013,0,0
347.998,62.1,13,"3","11",2013,0,0
201.201,39.2,17.1,"4","11",2013,0,0
204.953,39,6,"5","11",2013,0,0
224.651,39,8,"6","11",2013,0,0
196.98,48.9,6,"7","12",2013,0,0
257.481,48.9,5.1,"1","12",2013,0,0
259.357,53.1,7,"2","12",2013,0,0
243.88,53.1,5.1,"3","12",2013,0,0
268.737,60.1,5.1,"4","12",2013,1,0
355.971,62.1,8.9,"5","12",2013,0,0
265.923,42.1,9.9,"6","12",2013,0,0
213.864,41,9.9,"7","12",2013,0,0
299.691,39,12,"1","12",2013,0,0
252.791,39,8.9,"2","12",2013,1,0
283.745,37,12,"3","12",2013,0,0
303.912,33.1,11.1,"4","12",2013,0,0
325.955,35.1,11.1,"5","12",2013,0,0
323.61,34,15.9,"6","12",2013,1,0
211.05,39.9,17.1,"7","12",2013,1,0
300.16,39.9,12,"1","12",2013,0,3.1
329.707,32,9.9,"2","12",2013,1,3.1
328.769,37,11.1,"3","12",2013,0,3.1
284.683,45,8,"4","12",2013,0,3.9
316.106,53.1,11.1,"5","12",2013,0,3.1
279.055,63,11.1,"6","12",2013,0,3.1
236.845,71.1,12,"7","12",2013,0,1.2
331.583,71.1,14,"1","12",2013,0,0
241.535,64,12,"2","12",2013,0,0
120.533,42.1,14,"3","12",2013,0,0
200.732,35.1,8,"4","12",2013,0,0
223.244,39.9,8.9,"5","12",2013,0,0
222.775,55,13,"6","12",2013,0,0
184.786,55,12,"7","12",2013,0,0
223.244,48,11.1,"1","12",2013,0,0
218.085,45,11.1,"2","12",2013,0,0
187.131,33.1,8.9,"3","01",2014,0,0
282.807,33.1,15,"4","01",2014,0,0
198.387,24.8,15,"5","01",2014,1,0
196.042,28,8,"6","01",2014,0,5.9
150.08,36,7,"7","01",2014,1,5.9
242.942,55,11.1,"1","01",2014,1,3.9
288.904,21,11.1,"3","01",2014,0,0
263.109,32,8,"4","01",2014,0,0
312.823,36,7,"5","01",2014,0,0
218.085,57.9,9.9,"6","01",2014,1,0
181.972,57.9,12,"7","01",2014,0,0
266.392,54,9.9,"1","01",2014,0,0
262.171,52,8.9,"2","01",2014,0,0
273.427,46.9,6,"3","01",2014,0,0
222.775,28,8,"6","01",2014,0,5.9
218.085,28,14,"7","01",2014,0,3.9
239.659,44.1,15,"1","01",2014,0,3.9
236.376,26.1,12,"2","01",2014,0,3.1
304.381,23,8.9,"3","01",2014,0,1.2
308.133,30,8.9,"4","01",2014,0,2
262.64,39,8.9,"5","01",2014,0,1.2
237.783,44.1,6,"6","02",2014,0,1.2
195.573,55.9,7,"7","02",2014,0,1.2
450.24,55.9,8.9,"1","02",2014,1,1.2
287.497,42.8,6,"2","02",2014,0,1.2
219.492,35.1,13,"3","02",2014,1,7.9
266.861,33.1,8,"4","02",2014,0,9.1
316.575,32,11.1,"5","02",2014,0,9.1
198.856,32,8.9,"6","02",2014,0,9.1
211.05,30.9,8,"7","02",2014,0,9.1
317.982,30.9,9.9,"1","02",2014,1,7.9
298.284,28.9,8.9,"2","02",2014,0,9.8
300.16,26.1,8.9,"3","02",2014,0,9.8
209.643,36,19,"4","02",2014,1,9.8
371.448,39.9,18.1,"5","02",2014,1,11.8
242.004,39.9,14,"6","02",2014,1,18.1
217.616,37,13,"7","02",2014,0,18.1
230.279,32,11.1,"1","02",2014,0,18.1
242.942,39,8.9,"2","02",2014,1,16.9
258.888,45,8.9,"3","02",2014,0,18.1
260.764,50,8.9,"4","02",2014,0,16.9
255.605,48.2,14,"5","02",2014,1,15
275.303,54,11.1,"6","02",2014,0,13
194.166,54,6,"7","02",2014,0,9.8
266.861,54,13,"1","02",2014,0,9.1
240.597,44.1,14,"2","02",2014,0,5.9
239.659,33.1,14,"3","02",2014,0,5.9
267.799,34,12,"4","02",2014,0,5.9
307.195,34,14,"5","02",2014,0,5.9
233.093,37,7,"6","03",2014,0,5.9
161.336,39.9,8,"7","03",2014,0,5.9
206.36,39.9,12,"1","03",2014,0,5.1
249.508,32,8,"2","03",2014,0,5.1
230.279,37,8.9,"3","03",2014,0,5.1
261.702,39,11.1,"4","03",2014,0,3.9
249.977,37,11.1,"5","03",2014,0,3.9
241.535,57,11.1,"6","03",2014,0,3.9
189.476,57,9.9,"7","03",2014,0,3.1
240.597,51.1,9.9,"1","03",2014,0,2
239.19,64.9,8,"2","03",2014,0,1.2
241.535,66,7,"3","03",2014,0,0
255.605,55.9,17.1,"4","03",2014,0,0
274.365,46,13,"5","03",2014,0,0
243.411,57.9,13,"6","03",2014,0,0
193.228,57.9,15,"7","03",2014,0,0
243.411,42.1,12,"1","03",2014,0,0
258.419,43,12,"2","03",2014,0,0
246.225,44.1,9.9,"3","03",2014,0,0
294.532,54,14,"4","03",2014,0,0
276.241,54,12,"5","03",2014,0,0
231.217,63,11.1,"6","03",2014,0,0
200.263,63,9.9,"7","03",2014,0,0
256.543,42.1,9.9,"1","03",2014,0,0
222.306,39,9.9,"2","03",2014,0,0
264.047,39,18.1,"3","03",2014,0,0
252.322,44.1,15.9,"4","03",2014,0,0
248.57,61,9.9,"5","03",2014,0,0
266.861,62.1,15,"6","03",2014,0,0
204.953,59,20,"7","03",2014,0,0
262.171,55.9,12,"1","03",2014,0,0
257.481,60.1,9.9,"2","04",2014,0,0
