"num_collisions","max_temp","max_wind","day_group","winter_flag","weekday"
346,68,9.9,"Mon-Thu",0,"3"
293,64,7,"Mon-Thu",0,"4"
353,64.9,12,"Fri",0,"5"
335,64.9,14,"Sat",0,"6"
269,46.9,11.1,"Sun",0,"7"
343,48,11.1,"Mon-Thu",0,"1"
315,48.9,8,"Mon-Thu",0,"2"
317,55.9,6,"Mon-Thu",0,"3"
351,69.1,7,"Mon-Thu",0,"4"
349,69.1,14,"Fri",0,"5"
305,48,8,"Sat",0,"6"
273,55.9,6,"Sun",0,"7"
314,55.9,8.9,"Mon-Thu",0,"1"
340,55,14,"Mon-Thu",0,"2"
368,45,8.9,"Mon-Thu",0,"3"
217,55.9,7,"Mon-Thu",0,"4"
261,55.9,15,"Fri",0,"5"
264,46.9,17.1,"Sat",0,"6"
271,41,6,"Sun",0,"7"
323,45,9.9,"Mon-Thu",0,"1"
282,45,8,"Mon-Thu",0,"2"
266,48.9,8.9,"Mon-Thu",0,"3"
319,57.9,7,"Mon-Thu",0,"4"
343,57.9,12,"Fri",0,"5"
278,48,9.9,"Sat",0,"6"
255,48,6,"Sun",0,"7"
345,61,7,"Mon-Thu",0,"1"
321,61,17.1,"Mon-Thu",0,"2"
287,43,8,"Mon-Thu",0,"3"
283,42.1,9.9,"Mon-Thu",0,"4"
301,50,7,"Fri",0,"5"
307,66.2,8.9,"Sat",0,"6"
266,66,17.1,"Sun",0,"7"
302,55.9,12,"Mon-Thu",0,"1"
322,53.1,7,"Mon-Thu",0,"2"
285,54,8.9,"Mon-Thu",0,"3"
317,62.1,11.1,"Mon-Thu",0,"4"
305,62.1,12,"Fri",0,"5"
331,60.1,7,"Sat",0,"6"
291,48,11.1,"Sun",0,"7"
292,45,8,"Mon-Thu",0,"1"
256,43,7,"Mon-Thu",0,"2"
278,46.9,11.1,"Mon-Thu",0,"3"
302,46.9,12,"Mon-Thu",0,"4"
281,39.9,8,"Fri",0,"5"
189,48.9,7,"Sat",0,"6"
186,52,13,"Sun",0,"7"
207,51.1,11.1,"Mon-Thu",0,"1"
221,46.9,8.9,"Mon-Thu",0,"2"
192,46.9,11.1,"Mon-Thu",0,"3"
223,48.9,6,"Mon-Thu",0,"4"
232,55,7,"Fri",0,"5"
282,55.9,7,"Sat",1,"6"
180,59,8.9,"Sun",1,"7"
208,39.9,14,"Mon-Thu",1,"1"
255,37,9.9,"Mon-Thu",1,"2"
305,46.9,12,"Mon-Thu",1,"3"
233,46.9,9.9,"Mon-Thu",1,"4"
295,41,11.1,"Fri",1,"5"
235,34,11.1,"Sat",1,"6"
233,39,12,"Sun",1,"7"
265,39.9,17.1,"Mon-Thu",1,"1"
256,39.9,12,"Mon-Thu",1,"2"
250,39.9,12,"Mon-Thu",1,"3"
268,48,7,"Mon-Thu",1,"4"
288,48,13,"Fri",1,"5"
236,43,9.9,"Sat",1,"6"
265,32,14,"Sun",1,"7"
202,44.1,19,"Mon-Thu",1,"1"
258,44.1,13,"Mon-Thu",1,"2"
255,48.9,8.9,"Mon-Thu",1,"3"
246,48.9,12,"Mon-Thu",1,"4"
288,28.9,11.1,"Fri",1,"5"
266,28.9,11.1,"Sat",1,"6"
229,37,9.9,"Sun",1,"7"
238,37,8,"Mon-Thu",1,"1"
235,42.1,8.9,"Mon-Thu",1,"2"
266,42.1,11.1,"Mon-Thu",1,"3"
271,32,8,"Mon-Thu",1,"4"
282,32,8,"Fri",1,"5"
276,32,15,"Sat",1,"6"
224,28.9,15,"Sun",1,"7"
312,30.9,6,"Mon-Thu",1,"1"
274,36,8,"Mon-Thu",1,"2"
267,46.9,6,"Mon-Thu",1,"3"
248,48,8.9,"Mon-Thu",1,"4"
288,57,9.9,"Fri",1,"5"
295,28.4,13,"Sat",1,"6"
270,30,11.1,"Sun",1,"7"
276,37.4,8.9,"Mon-Thu",1,"1"
278,45,12,"Mon-Thu",1,"2"
271,46,8.9,"Mon-Thu",1,"3"
301,54,9.9,"Mon-Thu",1,"4"
319,57,8.9,"Fri",1,"5"
237,59,9.9,"Sat",1,"6"
229,59,9.9,"Sun",1,"7"
304,42.1,12,"Mon-Thu",1,"1"
289,30,8,"Mon-Thu",1,"2"
277,43,8,"Mon-Thu",1,"3"
267,68,11.1,"Mon-Thu",1,"4"
279,68,15,"Fri",1,"5"
237,39,15,"Sat",1,"6"
245,39.9,15,"Sun",1,"7"
194,55,8.9,"Mon-Thu",1,"1"
244,55,9.9,"Mon-Thu",1,"2"
253,68,11.1,"Mon-Thu",1,"3"
222,43,15,"Mon-Thu",1,"4"
251,41,14,"Fri",1,"5"
247,41,12,"Sat",1,"6"
243,48,14,"Sun",1,"7"
277,48,13,"Mon-Thu",1,"1"
248,46,13,"Mon-Thu",1,"2"
245,52,7,"Mon-Thu",1,"3"
318,52,15,"Mon-Thu",1,"4"
328,48,11.1,"Fri",1,"5"
259,46,7,"Sat",1,"6"
237,68,9.9,"Sun",1,"7"
329,73.9,11.1,"Mon-Thu",1,"1"
259,73.9,18.1,"Mon-Thu",1,"2"
286,50,9.9,"Mon-Thu",1,"3"
268,51.1,8,"Mon-Thu",1,"4"
329,55,8,"Fri",1,"5"
253,55,18.1,"Sat",1,"6"
274,48,15.9,"Sun",1,"7"
311,55.9,8.9,"Mon-Thu",1,"1"
295,68,8,"Mon-Thu",1,"2"
